Submission ID,Organization Name,Stage,HTSUS code,Product,Date Posted,Response Closes
USTR-2019-0017-36788,"Sea Eagle Boats, Inc",Denied,9506290030,Needle Nose Inflatable SUP,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36789,3V Sigma USA Inc.,Granted,2933696010,CYANURIC CHLORIDE,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36793,Frank de Paula Inc.,Granted,8516710020,FrankOne Coffee and Cold Brew Maker,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36795,"Epoca International, Inc.",Denied,7615103025,Aluminum cookware with non-stick finish,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36797,Absolute Outdoor Incorporated,Denied,9506290020,Water Ski Pairs (Youth-Adult),"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36798,Motion Watersports,Denied,9506290080,Inflatable Towable Tubes,"Nov 1, 2019","Nov 15, 2019"
USTR-2019-0017-36801,Woodings Industrial Corporation,Denied,7228800000,Alloy Steel Hollow Drill Rod,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36802,YOUR WORLD INC - WARP 9 RACING,Denied,8714100050,"Motorcycle hubs, rims, spoke kits, rotor","Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36803,PRIDE Enterprises,Denied,6402992790,Clog / Garden Shoe,"Nov 14, 2019","Nov 28, 2019"
USTR-2019-0017-36804,Apple Inc.,Granted,8517620090,Apple Watch,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36806,"Sea Eagle Boats, Inc",Denied,9506290030,Long Board Inflatable SUP,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36808,GALAXY AUDIO INC,Denied,8518108030,DHXR/HH65D,"Nov 4, 2019","Nov 18, 2019"
USTR-2019-0017-36810,"Sea Eagle Boats, Inc",Denied,9506290030,Fishing Inflatable SUP,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36811,Apple Inc.,Denied,8517620090,HomePod,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36814,Allure Home Creation Inc,Denied,3924905650,Bathroom toothbrush Holders,"Nov 7, 2019","Nov 21, 2019"
USTR-2019-0017-36815,"National Presto Industries, Inc.",Denied,4901990091,Instruction manuals and inserts,"Jan 8, 2020","Jan 22, 2020"
USTR-2019-0017-36818,"Alea Leather Specialist, Inc",Denied,9401901010,Automotive Leather Seat Cover Replacemen,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36820,"Berry Global, Inc.",Granted,5504100000,Viscose rayon staple fibers,"Dec 23, 2019","Jan 6, 2020"
USTR-2019-0017-36821,"ICON Health & Fitness, Inc.",Denied,9506910030,Treadmills with Wireless Data Capability,"Nov 4, 2019","Nov 18, 2019"
USTR-2019-0017-36822,Apple Inc.,Denied,8518220000,Beats Pill+,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36823,Absolute Outdoor Incorporated,Denied,9506290080,Inflatable Towable Tubes,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36824,Zamp Inc.,Granted,6506103045,Zamp Composite Helmet,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36825,Apple Inc.,Denied,8517620090,AirPods/Beats Wireless,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36826,Apple Inc.,Denied,8517700000,Parts for iPhone,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36828,Christie's Inc.,Granted,9703000000,Original sculptures and statuary,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36829,Apple Inc.,Denied,8471490000,iMac,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36831,"Bobrick Washroom Equipment, Inc.",Denied,8516330000,Electric hand dryers for public restroom,"Nov 22, 2019","Dec 6, 2019"
USTR-2019-0017-36832,"American Piping Products, Incorporated",Denied,7304191080,Hot Finish Seamless Carbon Steel Pipe,"Nov 5, 2019","Nov 19, 2019"
USTR-2019-0017-36834,SeaWolfe Tackle,Denied,9507208000,Fish Hooks  not snelled,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36835,Apple Inc.,Denied,8507600020,iPhone smart battery case,"Oct 31, 2019","Nov 14, 2019"
USTR-2019-0017-36836,Absolute Outdoor Incorporated,Denied,9404902000,Cushions; Throwable Boat Cushions,"Oct 31, 2019","Nov 14, 2019"
